id,title,answer
311,NullPointerException after checking with if statement,['java.lang.Throwable.getStackTrace']
312,"Java- method which returns generic type needs @SuppressWarnings(""unchecked"") and (T) new Result()","['java.lang.Class.getConstructor', 'java.lang.reflect.Constructor.newInstance']"
313,Creating Triangle button In Java,"['javax.swing.JComponent.paint', 'javax.swing.JComponent.contains']"
314,running an external jar using java,['java.lang.Runtime.exec']
315,What permissions are needed in the manifest file for an applet to communicate via Javascript,['java.security.AccessController.doPrivileged']
316,"Declaring floats, why default type double?",['java.lang.Math.round']
317,Is synchronized block always needed with synchronized collections?,['java.util.Collections.synchronizedMap']
318,Question about a weird Java regex behavior,"['java.util.regex.Matcher.find', 'java.util.regex.Matcher.lookingAt']"
319,Files.write appending string to text file,['java.lang.System.lineSeparator']
320,"ruby thread programming , ruby equivalent of java wait/notify/notifyAll",['java.lang.Thread.stop']
321,Converting an array of objects to an array of their primitive types,"['java.util.stream.IntStream.range', 'java.util.Arrays.asList']"
322,How to iterate a stream even if exceptions are thrown?,['java.util.concurrent.CompletableFuture.allOf']
323,What will i write inside my Class.forName if i have jdbc:mysql://localhost:3306,['java.lang.Class.forName']
324,How can the value of System.out be changed?,['java.lang.reflect.Field.set']
325,Display the value of swing timer,"['java.lang.String.format', 'java.util.Formatter.syntax']"
326,Getting familiar with Threads in Java: Why does this program's runtime increase with increasing number of threads,['java.lang.Math.random']
327,Possible to programmatically format text appended via stringBuffer.append()?,"['java.lang.StringBuilder.insert', 'java.lang.String.format']"
328,Java string to date conversion,"['java.time.LocalDate.parse', 'java.time.ZonedDateTime.parse', 'java.time.format.DateTimeFormatter.predefined', 'java.time.format.DateTimeFormatter.ofPattern', 'java.time.LocalDateTime.parse', 'java.time.format.DateTimeFormatter.ISO', 'java.util.Locale.getDefault']"
329,How to get rid of duplicate entries in a comma separated string in java?,['java.util.Arrays.asList']
330,NullPointer when playing sound on Java,['java.lang.Class.getResource']
331,Clone() vs Copy constructor- which is recommended in java,['java.lang.Object.clone']
332,EAR lib's class throwing a ClassNotFoundException for a WAR member (different),['java.lang.Class.forName']
333,How to add a new line to text in Java?,['javax.swing.JMenuItem.JMenuItem']
334,A simple Java Race Condition,['java.lang.Thread.sleep']
335,Programme goes unresponsive at ServerSocket.accept - Java,['javax.swing.SwingUtilities.invokeLater']
336,Run a Java for a particular amout of time,"['java.lang.System.currentTimeMillis', 'java.lang.System.nanoTime']"
337,ANR in SurfaceView on specific devices only -- The only fix is a short sleep time,['java.lang.Thread.sleep']
338,Reading next line in Java,"['java.io.BufferedReader.readLine', 'java.io.ObjectInputStream.readObject']"
339,Regex Extract Lat and Long from GPGGA String,['java.lang.String.split']
340,Basic array initialization and sorting question,['java.util.Arrays.sort']
341,Java: Simply convert a decimal byte to a hexadecimal byte,['java.lang.Integer.toHexString']
342,Android:converting int to string and passing to methods,"['java.lang.String.valueOf', 'java.lang.Integer.toString']"
343,"Java starting, stopping and resuming threads","['java.lang.Thread.stop', 'java.lang.Thread.interrupted']"
344,Files.walk() OS-independency issue,"['java.nio.file.Path.startsWith', 'java.nio.file.Path.getFileName']"
345,Do different Java Compilers (where the vendor is different) produce different bytecode,['java.io.Serializable.skip']
346,Java NIO FileChannel versus FileOutputstream performance / usefulness,"['java.lang.Thread.interrupt', 'java.nio.channels.FileChannel.transferTo', 'java.nio.channels.FileChannel.transferFrom']"
347,Iterator of Object[],"['java.util.Arrays.stream', 'java.util.Arrays.asList']"
348,How can I compare objects using instanceof but Interface types (not passing exact class name.),['java.lang.Class.isInstance']
349,Java code to check if event timestamp falls in weekdays and business hours from 9:30 AM to 4:00 PM,"['java.util.TimeZone.setDefault', 'java.util.function.Predicate.test']"
350,Optimal solution of removing duplicates from an unsorted string,"['java.util.Map.remove', 'java.util.Map.put', 'java.util.Set.add', 'java.util.Set.remove']"
351,How to pass in initialized HashMap as param?,['java.util.Map.put']
352,IProxyService.setProxyData affects system properties,['java.lang.System.setProperty']
353,"JAVA If else process that quits if user input 1 is = 0, doesn't work",['java.lang.System.exit']
354,How to set a background picture in JPanel,['javax.imageio.ImageIO.read']
355,"Swing UI Testing Library Comparisons: FEST, WindowTester Pro, etc",['java.awt.Component.setName']
356,How to call a private method of a class in different package,['java.lang.reflect.Method.invoke']
357,Date and DateTime handling - A particular scenario fails,"['java.lang.System.currentTimeMillis', 'java.util.Calendar.getInstance']"
358,syncrhonize access on arrayList,['java.util.Collections.synchronizedList']
359,Missing @Override in Java Libraries,['java.lang.annotation.RetentionPolicy.SOURCE']
360,What different sorting algorithms are available in Java 6?,"['java.util.Collections.sort', 'java.util.Arrays.sort']"
361,Parsing Phone Number without the use of split,['index.java']
362,How to cancel pending items from a ScheduledThreadPoolExecutor?,"['java.util.concurrent.ScheduledThreadPoolExecutor.shutdownNow', 'java.util.concurrent.ScheduledExecutorService.schedule', 'java.util.concurrent.Future.cancel']"
363,Timer inside while loop,['java.lang.Thread.sleep']
364,Many delete queries in single JDBC query,"['java.sql.Statement.addBatch', 'java.sql.Connection.rollback', 'java.sql.Statement.executeBatch']"
365,How to specify UTC timezone for Spring Boot JPA Timestamp,['java.sql.Timestamp.toLocalDateTime']
366,Where to put a file to read from a class under a package in java?,"['java.lang.Class.getResource', 'java.lang.System.getProperty']"
367,Class SubList() must either be called abstract or implement abstract method 'listIterator' in 'List',['java.util.List.listIterator']
368,How to control the capitalization of month and day names returned by DateFormat?,['java.time.Month.from']
369,Fixing a nullpointerexception in Java,['java.io.DataOutput.writeUTF']
370,Will this code run in UI thread?,['javax.swing.SwingUtilities.isEventDispatchThread']
371,How to retrieve ImageIcon elements from Vector Strings?,"['javax.swing.JLabel.setIcon', 'javax.imageio.ImageIO.read']"
372,Dynamic classloading using only a String,['java.lang.ClassLoader.findClass']
373,How to use Java properties file to define objects and set the properties for the object?,['java.lang.Class.forName']
374,JAVA type mismatch errors when using Class.forName on generics,['java.lang.Class.forName']
375,Comparing By Value in Java8 returning weird results,['java.util.stream.Collectors.toSet']
376,"When using Java's FileLock, is it ok to let close() to automatically do a lock.release()?",['java.io.FileInputStream.close']
377,Draw background region on paper,"['java.awt.print.PrinterJob.pageDialog', 'java.awt.Graphics2D.fill']"
378,Check if a file is an image,['java.lang.Runtime.exec']
379,Clarity about Methods and ArrayList,"['java.util.Collection.addAll', 'java.lang.Class.getMethod', 'java.lang.reflect.Method.invoke', 'java.util.Collection.add']"
380,unlinking copied instance variables in java,['java.lang.System.arraycopy']
381,No suitable driver found for jdbc?,['java.lang.Class.forName']
382,How to use Java 7+ 'Objects.hash()' with arrays?,"['java.util.Arrays.hashCode', 'java.util.Objects.hash', 'java.util.Arrays.deepHashCode']"
383,"How to represent ""&nbsp;"" as a delimiter for Scanner",['java.lang.Character.isWhitespace']
384,What is System.out exactly?,"['java.lang.System.setErr', 'java.lang.System.setIn', 'java.lang.System.setOut']"
385,How to compare two URLs in java?,"['java.net.URI.equals', 'java.net.URL.equals']"
386,System Tray temporary file shutdown hook,"['java.lang.Runtime.addShutdownHook', 'java.io.File.deleteOnExit']"
387,Empty list: What is the difference between Arrays.asList() and Collections.emptyList()?,"['java.util.Collections.emptyList', 'java.util.Arrays.asList']"
388,Type mismatch when sorting 2D array,['java.util.Arrays.sort']
389,How to filter NullString In Java,['java.lang.String.isEmpty']
390,Copy contents of an int Array to a double Array in Java?,['java.lang.System.arraycopy']
391,How to print a set of for-looped arrays in a JOptionPane?,['javax.swing.JOptionPane.showMessageDialog']
392,Java thinks I want to convert char to String using Integer.parseInt(),['java.lang.Integer.parseInt']
393,Position in array not allowed to be int,['java.lang.String.compareTo']
394,How to sort List of User-defined type in Java?,['java.util.Collections.sort']
395,Inject Maven parameter into Java class,['java.util.Properties.load']
396,Java / parse Object and load its fields into JTree,['java.lang.Class.getDeclaredFields']
397,Best way to indicate no change on row update with Java PreparedStatement,['java.sql.Connection.prepareStatement']
398,Delete Files with same Prefix String using Java,"['java.nio.file.Files.list', 'java.io.File.listFiles']"
399,Immutable Object with ArrayList member variable - why can this variable be changed?,['java.util.Collections.unmodifiableList']
400,NextInt giving Force close,['java.util.Random.nextInt']
401,Java list : get next or previous element from an identifier,"['java.util.List.get', 'java.util.List.indexOf']"
402,Storing number of 1's in binary representation of an int array in another array,['java.lang.Integer.bitCount']
403,Data lookup method for small data set with Java?,"['java.util.List.equals', 'java.util.Arrays.asList']"
404,Is there anything wrong with using I/O + ManagedBlocker in Java8 parallelStream()?,"['java.lang.Thread.sleep', 'java.util.stream.IntStream.range']"
405,Java Arrays.asList(columnes).contains() return false,['java.util.Arrays.asList']
406,"Method didn't throw UnsupportedOperationException, eventhough it should",['java.util.Arrays.asList']
407,Any Way To Check For Client Peer Certificate Without Throwing Exception?,['javax.net.ssl.SSLSession.getPeerCertificates']
408,How do I format a number in Java?,['java.lang.String.format']
409,What Spring does when it finds two beans with same name?,['java.lang.Class.getMethods']
410,how to check protocol present in url or not?,"['java.lang.String.startsWith', 'java.net.URL.toString']"
411,Java scanner nextInt(16) does not accept negative hex values,"['java.util.Scanner.nextInt', 'java.lang.Integer.parseInt']"
412,ParseInt raises exception when reading numeric output of StringBuffer,"['java.lang.String.replaceAll', 'java.lang.String.trim']"
413,Is there a way to set the entity expansion limit in woodstox?,['javax.xml.stream.XMLInputFactory.setProperty']
414,Java charAt() String index out of range: 5,['java.lang.StringBuilder.reverse']
415,How to make a Java thread wait for another thread's output?,"['java.util.concurrent.Executors.newWorkStealingPool', 'java.util.concurrent.ExecutorService.invokeAll', 'java.util.concurrent.Future.get']"
416,Is there a way to let the enum return the value without method,['java.lang.String.format']
417,Is this FrameWork in Java Possible?,['java.util.concurrent.Executors.newScheduledThreadPool']
418,Why does this throw Concurrent Modification Exception,['java.util.Map.putAll']
419,URL check resume method in java,['java.net.URLConnection.getHeaderField']
420,Best Map for interned Strings,"['java.lang.System.identityHashCode', 'java.lang.String.equals', 'java.lang.String.hashCode']"
421,Calendar : don't allow past timestamp,"['java.time.LocalTime.of', 'java.time.temporal.TemporalAdjusters.next', 'java.time.temporal.TemporalAdjusters.nextOrSame']"
422,Calendar.MONTH return 2. How to return 02,['java.lang.String.format']
423,"BigDecimal Method returns vague results, why does this happen?","['java.math.BigDecimal.BigDecimal', 'java.math.BigDecimal.valueOf']"
424,Merge Date and Time into Timestamp,['java.lang.System.currentTimeMillis']
425,java.lang.NoSuchMethodError: No interface method sort(Ljava/util/Comparator;) exception in sorting arraylist android,['java.util.Collections.sort']
426,Each thread should run for 10 minutes and then interrupt the thread if the time is over,"['java.lang.Thread.sleep', 'java.lang.Object.wait', 'java.util.concurrent.ExecutorService.shutdownNow', 'java.lang.Thread.currentThread', 'java.util.concurrent.ExecutorService.awaitTermination']"
427,Sorting Apps List Android Java,['java.util.Collections.sort']
428,"Update label on button hit, before calling function",['javax.swing.SwingUtilities.invokeLater']
429,Do not understand the source code of Arrays.copyOf,"['java.util.Arrays.copyOf', 'java.lang.reflect.Array.newInstance']"
430,How to make sure user doesn't enter letters,"['java.util.Scanner.hasNextInt', 'java.util.Scanner.hasNext', 'java.lang.Integer.parseInt']"
431,Which are the source of java to fill system properties,"['java.lang.System.setProperties', 'java.lang.System.getProperty']"
432,setUncaughtExceptionHandler not working in Maven project,"['java.lang.Thread.currentThread', 'java.lang.ThreadGroup.uncaughtException', 'java.lang.Thread.setDefaultUncaughtExceptionHandler']"
433,Infinite loop causes OutOfMemoryError: Java heap space,['java.lang.Thread.sleep']
434,ORA-00928 missing SELECT keyword in oracle,['java.sql.Statement.executeUpdate']
435,Compile error in JAVA - (<anonymous ListSelectionListener>),['java.util.Arrays.toString']
436,What determines Java object size?,"['java.lang.System.identityHashCode', 'java.lang.Object.hashCode']"
437,Java date parsing specific format,"['java.text.DateFormat.setLenient', 'java.util.Locale.ENGLISH']"
438,Thread does not stopped using flag as volatile,"['java.net.ServerSocket.accept', 'java.lang.Thread.interrupt']"
439,Simple chat client and chat server,['java.io.ObjectOutputStream.ObjectOutputStream']
440,Accessing an object class variable in ArrayList (java),"['java.util.List.size', 'java.util.List.contains', 'java.util.List.indexOf', 'java.util.List.set', 'java.util.List.get', 'java.util.List.remove']"
441,How To Store Values Within JAR \ Java Project,['java.lang.System.getProperty']
442,java RMI threading system,['java.lang.Object.wait']
443,Which Way of List Initialize Is Better,['java.util.Collections.unmodifiableList']
444,"Java, Using a newly-created Text File","['java.lang.Runtime.exec', 'java.io.File.createNewFile']"
445,extracting values from HashMap,['java.util.Map.values']
446,When do you use varargs in Java?,['java.lang.String.format']
447,Validation - Using regex and trim in java Strings,['java.lang.String.replaceAll']
448,Why doesn't Java throw an Exception when dividing by 0.0?,['java.lang.Double.isNaN']
449,How can I programmatically find the full path of the main executing class,"['java.lang.Class.getResource', 'java.util.Properties.load', 'java.lang.System.getProperties', 'java.lang.Class.getResourceAsStream']"
450,scanner class error while producing an output text file,['java.util.Scanner.nextInt']
451,Java-OOP I keep on getting this strange output,['java.lang.Object.toString']
452,Joda-time off-by-one error when counting days after 1918-03-24,['java.time.ZoneId.systemDefault']
453,"ArrayList - get ""Contain"" and ""lastIndexOf"" using String","['java.util.ArrayList.contains', 'java.util.List.lastIndexOf']"
454,calling Thread.sleep() from synchronized context in Java,"['java.lang.Thread.sleep', 'java.lang.Object.wait']"
455,"Is this an acceptable ""recursive"" concurrency design",['java.util.concurrent.Executors.newFixedThreadPool']
456,ScrollBar movement not smooth in JScrollpane in Swing,['javax.swing.JScrollBar.unitIncrement']
457,Java Vector: clear vs removeAllElements method,"['java.util.Vector.clear', 'java.util.Vector.removeAllElements']"
458,Java: Thread.currentThread().sleep(x) vs. Thread.sleep(x),"['java.lang.Thread.sleep', 'java.lang.Thread.currentThread', 'java.lang.Class.forName']"
459,Native code for JUnit tests not compiled with `nar-maven-plugin`,['java.lang.System.loadLibrary']
460,How does System.out direct output to console in eclipse?,['java.lang.Runtime.getRuntime']
461,Java 8 Streams int and Integer,['java.util.stream.Stream.of']
462,DriverManager always returns my custom driver regardless of the connection URL,['java.sql.DriverManager.getConnection']
463,The best way to transform int[] to List<Integer> in Java?,['java.util.Arrays.asList']
464,Serializing an object that includes BufferedImages,['javax.imageio.ImageIO.read']
465,Date format conversion from CST to GMT is not working,['java.util.TimeZone.getTimeZone']
466,how to set timezone for jvm through command line,"['java.util.TimeZone.setDefault', 'java.time.ZoneId.systemDefault']"
467,android-sorting of list is not working,['java.util.Collections.sort']
468,What's the difference between the 2 ways of showing window in Swing?,['java.awt.EventQueue.invokeLater']
469,Java Applet size behavior vs JFrame size behavior,['javax.swing.SwingUtilities.invokeAndWait']
470,Determine the size of an InputStream,"['java.io.ByteArrayOutputStream.toByteArray', 'java.io.ByteArrayInputStream.available']"
471,Is it possible that I get ConcurrentModificationException when all the methods in my program are synchronized?,"['java.util.ListIterator.add', 'java.util.Iterator.remove']"
472,Deprecated Date methods in Java?,['java.lang.String.split']
473,Best practise for updating data in a AbstractTableModel in a non AWT thread,['javax.swing.SwingUtilities.invokeLater']
474,Localized date format in Java,"['java.text.DateFormat.getDateTimeInstance', 'java.text.DateFormat.getDateInstance']"
475,Thread-safe Map in Java,['java.util.Collections.synchronizedMap']
476,"Stackoverflow at Arrays.asList(str.split("","")) -> due to wrong recursion",['java.lang.String.split']
477,Import one node from one document to another,"['org.w3c.dom.Node.appendChild', 'org.w3c.dom.Document.adoptNode']"
478,Regarding removing elements from an ArrayList,['java.util.List.subList']
479,Difference between System.getenv() & System.getProperty(),"['java.lang.System.getenv', 'java.lang.System.getProperty']"
480,Dividing input stream into blocks,"['java.io.File.length', 'org.omg.CORBA.portable.InputStream.read']"
481,How to produce a good dropdown list of timezones that correspond to java TimeZone(s),['java.util.TimeZone.getAvailableIDs']
482,How to retrieve useful system information in java?,"['java.lang.System.getProperties', 'java.lang.System.getProperty']"
483,SWT/JFace equivalent to JComponent.setDefaultLocale()?,"['java.util.Locale.getDefault', 'javax.swing.JComponent.setDefaultLocale']"
484,Swing MacBook Invalid Display mode,['java.awt.GraphicsDevice.getDisplayModes']
485,Blowfish encrypt in Java/Scala and decrypt in bash,['javax.crypto.Cipher.init']
486,Failing to load resource when running java program from command line,"['java.lang.ClassLoader.getResourceAsStream', 'javax.xml.transform.stream.StreamSource.StreamSource']"
487,Get the Integer from the end of a string (variable length),"['java.lang.Long.parseLong', 'java.lang.Character.isDigit', 'java.lang.Integer.parseInt']"
488,Read bytes between specific offsets in java,['java.io.InputStream.skip']
489,"Java, adding elements in an array an concurrently looping through it",['java.util.Collections.synchronizedList']
490,How interface gets a method with body from Object class?,['java.lang.Object.toString']
491,"Does creating multiple ""throwaway"" objects affect performance",['java.lang.Double.parseDouble']
492,Memory leak in my app? Is garbage collection in code a good practice?,['java.lang.System.gc']
493,Java - How is the return of foo.charAt(i) a reference?,['java.lang.String.charAt']
494,How can i get sum in java?,"['java.math.BigDecimal.BigDecimal', 'java.lang.Double.parseDouble']"
495,CANNOT LINK EXECUTABLE error with required libs loaded. How to link them properly?,['java.lang.System.loadLibrary']
496,replacing all occurance of a substring from a string in java,"['java.lang.String.replace', 'java.lang.String.replaceAll']"
497,Unix timestamp creation in java,['java.util.Date.getTime']
498,Getting response of command line in Java,"['java.lang.Process.exitValue', 'java.lang.Process.getOutputStream']"
499,How to mock the default constructor of the Date class with JMockit?,['java.lang.System.currentTimeMillis']
500,SAXParseException: value is not a valid value for 'date',['javax.xml.datatype.XMLGregorianCalendar.getXMLSchemaType']
501,Method reference in Java 8,"['java.util.Comparator.comparing', 'java.util.function.Function.apply']"
502,Regex Search In Files using Java,['java.util.regex.Pattern.compile']
503,"How to create a random 16 digits number, with specific first digits?","['java.lang.Math.random', 'java.lang.Integer.parseInt']"
504,Is there a reason I should call Integer.hashCode()?,"['java.lang.Integer.intValue', 'java.lang.Integer.hashCode']"
505,How to prevent an Object being cast to a String automatically,"['java.lang.String.concat', 'java.lang.String.valueOf']"
506,Reading in a text file upto specific number of characters,['java.io.BufferedReader.readLine']
507,getting data from jcombo box and converting it to float,['javax.swing.JComboBox.getSelectedItem']
508,JPanel Preferred Size Not Being Set,['java.awt.Container.getPreferredSize']
509,Passing a value from activity to thread after thread is already created,['java.lang.Thread.sleep']
510,get date and time format from mac OS x system settings,['java.text.DateFormat.getInstance']
511,Using string input as boolean,['java.lang.Boolean.parseBoolean']
512,How to break/pause reading of an image?,"['java.lang.Thread.stop', 'javax.imageio.ImageIO.read']"
513,Using LinkedList to access a get method,['java.util.LinkedList.get']
514,KeyListener always gives me an error when trying to add it to my JFrame,['java.awt.Component.addKeyListener']
515,Java: try(Scanner scan = new Scanner(System.in) { } causing an exception,['java.util.Scanner.close']
516,Aligning JMenu on the right corner of JMenuBar in Java Swing,['javax.swing.JMenu.setComponentOrientation']
517,"Renaming photos to ph01, ph02 .. ph99 in java",['java.lang.String.format']
518,html table td contents parsing using jsoup in android,['java.lang.String.split']
519,Printing value at array index returns hashcode,"['java.util.Arrays.toString', 'java.util.Arrays.deepToString']"
520,How to filter JTable with AbstractDataModel?,"['javax.swing.RowFilter.regexFilter', 'javax.swing.RowFilter.notFilter']"
521,Java regex is working in my system but not in the server,"['java.util.regex.Pattern.compile', 'java.util.regex.Pattern.usc']"
522,Consecutive Delimiters in StringTokenizer,['java.lang.String.split']
523,Interrupting a java thread gracefully,"['java.lang.Object.wait', 'java.lang.Object.notify']"
524,Java FlowLayout - Margin/padding of specific elements?,['java.awt.FlowLayout.FlowLayout']
525,"Why does ""ImageIO.read(URL input)"" fail on some images on Weblogic 12c?",['javax.imageio.ImageIO.read']
526,Convert.ToInt32 versus TryParse,"['java.util.regex.Pattern.matches', 'java.lang.Integer.parseInt', 'java.lang.String.matches']"
527,There's no ObjectFactory with an @XmlElementDecl,['javax.xml.bind.JAXBContext.newInstance']
528,What is the expected behavior when a Java 8 Stream throw a RuntimeException?,"['java.util.concurrent.ForkJoinPool.commonPool', 'java.util.stream.IntStream.range']"
529,Calling Linked List class method in Driver class,['java.util.Collections.sort']
530,Java Method.invoke() throwing IllegalArgumentException: argument type mismatch,['java.lang.reflect.Method.invoke']
531,Which usage of compareTo method is more understandable?,['java.lang.Boolean.compareTo']
532,Is it a kind of deadlock in the code?,"['java.lang.Thread.currentThread', 'java.lang.Thread.join']"
533,Getting location of file as string in resource folder,"['java.lang.ClassLoader.getResourceAsStream', 'java.lang.ClassLoader.getResource', 'java.lang.Class.getResourceAsStream']"
534,How to average BigDecimals using Streams?,['java.util.List.size']
535,Good or bad idea: Multiple threads in a multi-user servlet-based web application with Java,['java.util.concurrent.Executors.newFixedThreadPool']
536,Initializing an ArrayList with an array in a single line,['java.util.Arrays.asList']
537,Why does Math.sin() delegate to StrictMath.sin()?,"['java.lang.StrictMath.sin', 'java.lang.Math.sin']"
538,Merging a List of objects containing lists,['java.util.stream.Stream.reduce']
539,JAVA populate 2D array with user input,['java.lang.Double.parseDouble']
540,JToggleButton - How to change the color?,['javax.swing.UIManager.put']
541,Is it bad to have threads waiting in java?,['java.lang.Thread.yield']
542,How do I make a rectangular grid of small textboxes using Netbeans GUI builder?,['java.awt.GridLayout.GridLayout']
543,Recursive search function for windows dictornaries. How?,['java.nio.file.Files.walk']
544,How to find if there is related data?,"['java.sql.DatabaseMetaData.getExportedKeys', 'java.sql.Connection.getMetaData']"
545,Swing Multithreading. My GUI is freezing,"['java.lang.Thread.sleep', 'java.awt.EventQueue.invokeAndWait']"
546,ActiveRendering - Drawing on Buffer not working,['java.awt.Graphics.dispose']
547,Displaying SimpleCaptcha in Struts 2 Form,['java.lang.Math.random']
548,how to generate a random long with 4 digits in java?,"['java.io.PrintStream.printf', 'java.util.Random.nextInt', 'java.lang.String.format']"
549,Is Collections.syncronizedList effectively a vector?,['java.util.Collections.synchronizedList']
550,How to immediately change text of jLabel inside MouseEvent handler?,['java.lang.Thread.sleep']
551,"Merge Map<String, List<String> Java 8 Stream","['java.util.Map.merge', 'java.util.Map.forEach']"
552,Switch with arrays method,['java.util.stream.IntStream.of']
553,"What is an ""internal address"" in Java?",['java.lang.Object.hashCode']
554,Crash An App using Exception in Android,['java.lang.Thread.setDefaultUncaughtExceptionHandler']
555,How to display an istanceof an object in an arraylist? (Polymorphism),['java.lang.Object.toString']
556,Is System.nanoTime() guaranteed to return unique values?,"['java.nio.file.Files.createTempFile', 'java.io.File.createTempFile', 'java.lang.System.nanoTime']"
557,How to Run a Python file from Java using an Absolute Path?,['java.lang.Runtime.getRuntime']
558,Reading JPEGs: ImageIO.read() messes up color space,"['java.awt.image.AffineTransformOp.filter', 'javax.imageio.ImageIO.read', 'javax.imageio.ImageIO.write']"
559,Method to shuffle the members of a class randomly,['java.util.Collections.shuffle']
560,Should I allocate/create swing elements into EDT?,"['java.awt.EventQueue.invokeLater', 'javax.swing.package-summary.threading']"
561,Sorting a list of non-comparable elements,['java.util.Collections.sort']
562,"Calendar object in Java, returns wrong time?",['java.text.DateFormat.parse']
563,How to get the first non-null value in Java?,['java.util.Optional.ofNullable']
564,String split after a number and symbol,['java.lang.String.split']
565,How to return ResultSet in SQL Wrapper class,['java.sql.Statement.close']
566,How do I resize the JTree row around the TreeCellEditor,"['javax.swing.tree.AbstractLayoutCache.invalidateSizes', 'javax.swing.JTree.getUI']"
567,How to Use JFileChooser to input CSV filedata into a JTable,['javax.swing.JTable.JTable']
568,"Optimum time to perform an operation: within, or after loop",['java.lang.Character.isWhitespace']
569,Java generating Strings with placeholders,['java.lang.String.format']
570,"Java, what's the difference between == and equals","['java.util.Arrays.equals', 'java.lang.Object.equals']"
571,Java Regex won't match,['java.util.regex.Pattern.quote']
572,Why would you catch InterruptedException to call Thread.currentThread.interrupt()?,"['java.lang.Runnable.run', 'java.lang.Thread.interrupt']"
573,Accessing sub-array and counting an element in arrays in Java,"['java.util.Arrays.stream', 'java.util.Arrays.asList']"
574,Android string .equals method not working,['java.lang.String.equals']
575,How to convert xml to .json file in java,['java.lang.Class.getResourceAsStream']
576,using forEach to iterate over varArgs,['java.util.stream.Stream.of']
577,server that accepts multiple client - not working,['java.io.BufferedReader.readLine']
578,Use string matching or boolean flags for performance optimization,['java.lang.String.equals']
579,Disable menu items programatically,['javax.swing.JMenuItem.setEnabled']
580,How do i compare values of BigInteger to be used as a condition in a loop?,['java.math.BigInteger.compareTo']
581,Java: sorting an ArrayList in place,"['java.util.Arrays.sort', 'java.util.Collections.sort']"
582,Java: console skipping input,"['java.util.Scanner.nextLine', 'java.util.Scanner.nextDouble']"
583,How can I specify run-time variables in a jar's manifest file?,['java.lang.Class.getResourceAsStream']
584,Sending 1 MB Buffer of data over Socket in Android,"['java.net.Socket.getOutputStream', 'java.io.PrintWriter.print']"
585,Java with GSON - deserialize only the values into an ArrayList of a JSON string,"['java.util.ArrayList.ArrayList', 'java.util.Map.values']"
586,The difference between the Runnable and Callable interfaces in Java,"['java.util.concurrent.Executor.execute', 'java.lang.Runnable.run']"
587,how to start/stop an application pool in IIS 6.0 from Java remotely,['java.lang.Runtime.exec']
588,Changing lsb value of image rgb value giving inconsistent value,['java.util.Arrays.copyOf']
589,"How to replace HashMap<String, Integer> with an array?",['java.util.HashMap.entrySet']
590,What is ideal size of Fixed Thread pool?,['java.lang.Runtime.availableProcessors']
591,"Java List , Vector comparison",['java.util.Vector.equals']
592,Create Swing GUI with vertically stacked sections,['javax.swing.JSplitPane.setDividerLocation']
593,Creating a stream from scratch or from an Iterator,"['java.util.Spliterators.spliteratorUnknownSize', 'java.util.stream.StreamSupport.stream', 'java.util.regex.Pattern.splitAsStream']"
594,Common method for comparing any two Java objects,"['java.util.Objects.equals', 'java.lang.reflect.AccessibleObject.setAccessible']"
595,How are enums internally represented in Java?,['java.lang.Enum.valueOf']
596,Convert JPanel to binary array,['javax.swing.JComponent.paint']
597,"Java Serialization of referenced objects is ""losing values""?",['java.io.ObjectOutputStream.reset']
598,How do I convert lambda parameters to usable objects?,"['java.util.stream.Collectors.collectingAndThen', 'java.util.stream.Collectors.toMap']"
599,Sorting an array in java with certain conditions,"['java.util.Collections.sort', 'java.util.Arrays.sort']"
600,GUID in JAVA can Contain Space?,['java.util.UUID.toString']
601,Hashmap internal flow while getting Value,"['java.lang.Object.equals', 'java.lang.String.equals']"
602,How change background color of JFrame,"['java.awt.EventQueue.invokeLater', 'javax.swing.SwingUtilities.invokeLater']"
603,Why does SimpleDateFormat parse incorrect date?,['java.text.DateFormat.setLenient']
604,"Java Regex Matcher works, but String.split() doesn't",['java.lang.String.split']
605,java.lang.ClassCastException: java.math.BigInteger cannot be cast to java.lang.Long,['java.math.BigInteger.longValue']
606,setCellRenderer() not working,"['javax.swing.JTable.setAutoCreateColumnsFromModel', 'javax.swing.table.AbstractTableModel.fireTableStructureChanged', 'javax.swing.JTable.setModel']"
607,Remove first white space in Java,"['java.lang.String.trim', 'java.lang.Character.isWhitespace', 'java.lang.String.replaceFirst', 'java.lang.String.substring']"
608,How to find the largest power of 2 less than the given number,"['java.math.BigInteger.valueOf', 'java.lang.Integer.highestOneBit']"
609,Trying to create a hash table in java using string as key & double as value,['java.util.Collections.synchronizedMap']
610,how to add logo to qr codes,['java.awt.Image.getGraphics']
611,How to catch all checked exceptions (in a single block) in Java?,['javax.swing.SwingUtilities.invokeLater']
612,Array and reified type,['java.lang.reflect.Array.newInstance']
613,What is the difference between Streams and Collections in Java 8,['java.util.stream.package-summary.package']
614,How to get start and end date of a year?,['java.util.Calendar.getActualMaximum']
615,How to wait for completion of multiple tasks in Java?,"['java.util.stream.Stream.of', 'java.util.concurrent.CountDownLatch.await']"
616,What is the difference between ArrayList.clear() and ArrayList.removeAll()?,['java.util.ArrayList.clear']
617,Adding integers to Multiplication Table,['java.lang.Integer.parseInt']
